,Date,Game,Time,Result
0,25/08/2018,"מ.ס. אשדוד - בני יהודה ת""א",18:00,0-1
1,25/08/2018,"הפ' חדרה ש. שוורץ - הפועל ת""א",18:45,1-2
2,25/08/2018,הפועל חיפה - מכבי נתניה,19:30,0-5
3,25/08/2018,"הפועל ק""ש - הפועל ב""ש",20:45,1-1
4,26/08/2018,בני סכנין - הפועל רעננה,19:00,0-0
5,26/08/2018,"מכבי ת""א - מכבי חיפה",21:00,0-2
6,27/08/2018,"מכבי ע. פ""ת - בית""ר י-ם",20:30,1-4
7,01/09/2018,"הפועל רעננה - הפועל ק""ש",18:00,1-2
8,01/09/2018,מכבי חיפה - מ.ס. אשדוד,18:45,0-2
9,01/09/2018,מכבי נתניה - בני סכנין,20:00,1-1
10,01/09/2018,"הפועל ת""א - הפועל חיפה",20:45,0-1
11,02/09/2018,"בני יהודה ת""א - מכבי ע. פ""ת",19:00,2-2
12,02/09/2018,"הפועל ב""ש - מכבי ת""א",21:15,1-1
13,03/09/2018,"בית""ר י-ם - הפ' חדרה ש. שוורץ",20:30,1-0
14,15/09/2018,"מכבי ת""א - הפועל רעננה",18:00,1-4
15,15/09/2018,"מכבי ע. פ""ת - הפ' חדרה ש. שוורץ",19:00,1-1
16,15/09/2018,"בני סכנין - הפועל ת""א",19:45,1-1
17,15/09/2018,"מ.ס. אשדוד - הפועל ב""ש",20:30,0-1
18,16/09/2018,"הפועל ק""ש - מכבי נתניה",19:00,0-1
19,16/09/2018,"בני יהודה ת""א - מכבי חיפה",20:30,1-1
20,17/09/2018,"הפועל חיפה - בית""ר י-ם",21:00,2-2
21,22/09/2018,"הפועל ת""א - הפועל ק""ש",18:00,0-0
22,22/09/2018,הפועל רעננה - מ.ס. אשדוד,18:45,1-1
23,22/09/2018,"מכבי חיפה - מכבי ע. פ""ת",19:45,2-1
24,22/09/2018,"מכבי נתניה - מכבי ת""א",20:30,2-1
25,24/09/2018,הפ' חדרה ש. שוורץ - הפועל חיפה,19:00,0-2
26,24/09/2018,"הפועל ב""ש - בני יהודה ת""א",20:00,0-0
27,24/09/2018,"בית""ר י-ם - בני סכנין",21:00,2-3
28,29/09/2018,"מכבי ע. פ""ת - הפועל חיפה",18:00,1-1
29,29/09/2018,בני סכנין - הפ' חדרה ש. שוורץ,18:45,2-1
30,29/09/2018,מ.ס. אשדוד - מכבי נתניה,19:30,4-1
31,29/09/2018,"הפועל ק""ש - בית""ר י-ם",20:30,0-2
32,01/10/2018,"בני יהודה ת""א - הפועל רעננה",19:00,0-3
33,01/10/2018,"מכבי חיפה - הפועל ב""ש",20:00,0-0
34,01/10/2018,"מכבי ת""א - הפועל ת""א",21:00,0-0
35,06/10/2018,הפועל רעננה - מכבי חיפה,18:00,1-1
36,06/10/2018,הפועל חיפה - בני סכנין,18:46,3-0
37,06/10/2018,"מכבי נתניה - בני יהודה ת""א",19:46,3-1
38,06/10/2018,"הפועל ב""ש - מכבי ע. פ""ת",20:30,1-4
39,07/10/2018,"הפ' חדרה ש. שוורץ - הפועל ק""ש",19:00,0-1
40,07/10/2018,"בית""ר י-ם - מכבי ת""א",21:00,2-0
41,08/10/2018,"הפועל ת""א - מ.ס. אשדוד",20:30,0-0
42,20/10/2018,"מכבי ת""א - הפ' חדרה ש. שוורץ",17:00,0-4
43,20/10/2018,"הפועל ק""ש - הפועל חיפה",19:00,1-1
44,20/10/2018,"בני יהודה ת""א - הפועל ת""א",19:15,0-0
45,20/10/2018,"הפועל ב""ש - הפועל רעננה",20:30,0-2
46,21/10/2018,"מכבי ע. פ""ת - בני סכנין",20:00,0-0
47,21/10/2018,"מ.ס. אשדוד - בית""ר י-ם",21:00,1-1
48,22/10/2018,מכבי חיפה - מכבי נתניה,21:00,2-0
49,27/10/2018,"הפועל רעננה - מכבי ע. פ""ת",18:00,0-1
50,27/10/2018,"בני סכנין - הפועל ק""ש",18:00,3-0
51,27/10/2018,"מכבי נתניה - הפועל ב""ש",19:15,0-1
52,27/10/2018,"בית""ר י-ם - בני יהודה ת""א",20:30,5-1
53,28/10/2018,הפ' חדרה ש. שוורץ - מ.ס. אשדוד,19:00,2-3
54,28/10/2018,"הפועל חיפה - מכבי ת""א",20:30,3-1
55,29/10/2018,"הפועל ת""א - מכבי חיפה",21:00,2-1
56,03/11/2018,הפועל רעננה - מכבי נתניה,16:00,2-1
