,Date,Game,Time,Result
0,26/08/2006,"הפועל כפ""ס - הפועל פ""ת",17:30,1-4
1,26/08/2006,מ.ס. אשדוד - מכבי הרצליה,19:00,0-1
2,26/08/2006,"מכבי ע. פ""ת - הכח מכבי עמידר ר""ג",19:00,0-0
3,26/08/2006,מכבי נתניה - מכבי חיפה,19:30,1-3
4,27/08/2006,"מכבי ת""א - בית""ר י-ם",20:50,2-1
5,28/08/2006,"בני יהודה ת""א - הפועל ת""א",20:03,0-0
6,09/09/2006,"הכח מכבי עמידר ר""ג - בני יהודה ת""א",17:00,2-3
7,09/09/2006,"הפועל פ""ת - מכבי נתניה",17:10,0-0
8,09/09/2006,"מכבי ת""א - הפועל כפ""ס",17:20,2-0
9,09/09/2006,"מכבי הרצליה - מכבי ע. פ""ת",17:30,3-0
10,09/09/2006,מכבי חיפה - מ.ס. אשדוד,19:30,0-1
11,10/09/2006,"בית""ר י-ם - הפועל ת""א",20:50,1-2
12,16/09/2006,"מ.ס. אשדוד - הפועל פ""ת",19:00,1-2
13,16/09/2006,"בני יהודה ת""א - מכבי הרצליה",19:00,1-2
14,16/09/2006,"מכבי נתניה - מכבי ת""א",19:30,1-1
15,17/09/2006,"מכבי ע. פ""ת - מכבי חיפה",19:00,1-0
16,17/09/2006,"הפועל כפ""ס - בית""ר י-ם",20:50,3-2
17,18/09/2006,"הפועל ת""א - הכח מכבי עמידר ר""ג",20:30,1-4
18,30/09/2006,"הפועל כפ""ס - מכבי נתניה",17:20,1-1
19,30/09/2006,"הפועל פ""ת - מכבי ע. פ""ת",18:02,1-0
20,30/09/2006,"מכבי ת""א - מ.ס. אשדוד",19:00,0-1
21,30/09/2006,"בית""ר י-ם - הכח מכבי עמידר ר""ג",19:30,0-0
22,14/10/2006,"מכבי ע. פ""ת - מכבי ת""א",17:20,1-2
23,14/10/2006,"בני יהודה ת""א - הפועל פ""ת",18:00,1-3
24,14/10/2006,"הכח מכבי עמידר ר""ג - מכבי הרצליה",18:00,2-1
25,14/10/2006,"מ.ס. אשדוד - הפועל כפ""ס",18:30,0-3
26,14/10/2006,"מכבי נתניה - בית""ר י-ם",19:30,1-3
27,15/10/2006,"הפועל ת""א - מכבי חיפה",20:50,0-2
28,21/10/2006,מכבי נתניה - מ.ס. אשדוד,17:20,3-1
29,21/10/2006,"הפועל כפ""ס - מכבי ע. פ""ת",18:30,0-3
30,21/10/2006,"מכבי ת""א - בני יהודה ת""א",19:30,0-4
31,22/10/2006,"בית""ר י-ם - מכבי הרצליה",20:50,0-3
32,23/10/2006,"הפועל פ""ת - הפועל ת""א",18:30,2-0
33,23/10/2006,"מכבי חיפה - הכח מכבי עמידר ר""ג",20:30,3-3
34,28/10/2006,"מכבי ע. פ""ת - מכבי נתניה",17:20,1-0
35,28/10/2006,מכבי הרצליה - מכבי חיפה,18:05,2-2
36,28/10/2006,"בני יהודה ת""א - הפועל כפ""ס",18:30,0-0
37,28/10/2006,"הכח מכבי עמידר ר""ג - הפועל פ""ת",18:30,3-0
38,28/10/2006,"מ.ס. אשדוד - בית""ר י-ם",19:30,4-1
39,29/10/2006,"הפועל ת""א - מכבי ת""א",20:50,3-1
40,04/11/2006,"מכבי נתניה - בני יהודה ת""א",17:20,0-0
41,04/11/2006,"הפועל פ""ת - מכבי הרצליה",18:00,1-1
42,04/11/2006,"מ.ס. אשדוד - מכבי ע. פ""ת",18:30,2-1
43,04/11/2006,"מכבי ת""א - הכח מכבי עמידר ר""ג",19:30,0-1
44,05/11/2006,"בית""ר י-ם - מכבי חיפה",20:50,0-0
45,06/11/2006,"הפועל כפ""ס - הפועל ת""א",19:00,1-0
46,17/11/2006,"הכח מכבי עמידר ר""ג - הפועל כפ""ס",14:30,0-0
47,18/11/2006,"הפועל ת""א - מכבי נתניה",17:20,1-2
48,18/11/2006,"בני יהודה ת""א - מ.ס. אשדוד",18:30,3-2
49,18/11/2006,"מכבי חיפה - הפועל פ""ת",19:15,1-2
50,18/11/2006,"מכבי הרצליה - מכבי ת""א",19:30,2-0
51,19/11/2006,"מכבי ע. פ""ת - בית""ר י-ם",20:50,1-3
52,25/11/2006,"מכבי נתניה - הכח מכבי עמידר ר""ג",17:20,0-1
53,25/11/2006,"הפועל כפ""ס - מכבי הרצליה",18:30,1-2
54,25/11/2006,"מכבי ע. פ""ת - בני יהודה ת""א",18:30,0-1
55,25/11/2006,"בית""ר י-ם - הפועל פ""ת",19:30,0-2
56,26/11/2006,"מכבי ת""א - מכבי חיפה",20:50,1-1
57,27/11/2006,"מ.ס. אשדוד - הפועל ת""א",19:30,1-2
58,02/12/2006,"הפועל פ""ת - מכבי ת""א",17:20,2-1
59,02/12/2006,מכבי הרצליה - מכבי נתניה,18:00,0-1
60,02/12/2006,"הכח מכבי עמידר ר""ג - מ.ס. אשדוד",18:30,1-0
61,02/12/2006,"הפועל ת""א - מכבי ע. פ""ת",19:30,1-0
62,03/12/2006,"בני יהודה ת""א - בית""ר י-ם",20:50,2-0
63,04/12/2006,"מכבי חיפה - הפועל כפ""ס",19:33,3-3
64,09/12/2006,"הפועל ת""א - בני יהודה ת""א",17:20,1-3
65,09/12/2006,מכבי הרצליה - מ.ס. אשדוד,18:00,2-1
66,09/12/2006,"הפועל פ""ת - הפועל כפ""ס",18:30,0-0
67,09/12/2006,"הכח מכבי עמידר ר""ג - מכבי ע. פ""ת",18:30,0-0
68,09/12/2006,מכבי חיפה - מכבי נתניה,19:30,0-1
69,10/12/2006,"בית""ר י-ם - מכבי ת""א",20:50,0-0
70,16/12/2006,"הפועל כפ""ס - מכבי ת""א",17:20,1-1
71,16/12/2006,"בני יהודה ת""א - הכח מכבי עמידר ר""ג",18:30,0-0
72,16/12/2006,"מכבי ע. פ""ת - מכבי הרצליה",18:30,2-2
